Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,33.37,121800500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adre
ADRU,BLDRS Europe 100 ADR Index Fund,19.7,12805000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adru
BLMN,"Bloomin&#39; Brands, Inc.",17.41,1834856022,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/blmn
BCOR,"Blucora, Inc.",14.7,613278943.2,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
BLBD,Blue Bird Corporation,16.1,363951415.8,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/blbd
BUFF,"Blue Buffalo Pet Products, Inc.",25.21,4954150209,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/buff
BHBK,"Blue Hills Bancorp, Inc.",18.15,486085550,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhbk
NILE,"Blue Nile, Inc.",40.64,476723009,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/nile
BLUE,"bluebird bio, Inc.",68.2,2544110840,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
BKEP,"Blueknight Energy Partners L.P., L.L.C.",7.1,269751556.7,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkep
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",8.11,244586400.1,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/bkepp
BPMC,Blueprint Medicines Corporation,31.11,1029031443,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmc
ITEQ,BlueStar TA-BIGITech Israel Technology ETF,25.36,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iteq
BMCH,"BMC Stock Holdings, Inc.",19.05,1269144395,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bmch
BNCN,BNC Bancorp,32.15,1676594433,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bncn
BOBE,"Bob Evans Farms, Inc.",49.86,985484994.1,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bobe
BOFI,"BofI Holding, Inc.",28.85,1826186998,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi
BOFIL,"BofI Holding, Inc.",25.456,0,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofil
WIFI,"Boingo Wireless, Inc.",12.08,462409462.3,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wifi
BOJA,"Bojangles&#39;, Inc.",20.6,752877140.4,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/boja
BOKF,BOK Financial Corporation,83,5470567682,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokf
BOKFL,BOK Financial Corporation,23.16,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bokfl
